,title,sector,website,phoneNumber,address
597,Wise Habits Nutritional Therapy,Nutritionist,wise-habits.com,+1 971-275-6823,"16245 SW 93rd Ave, Tigard, OR 97224, United States"
598,Tnt Recruiting Solutions Llc,Employment agency,tntrecruitingsolutions.com,+1 503-761-9000,"Portland, OR 97201, United States"
599,NuScale Power,Nuclear power company,nuscalepower.com,+1 971-371-1592,"6650 SW Redwood Ln #210, Portland, OR 97224, United States"
600,"Dr. Cristina L. Rust, DMD",,cedarcreekdentistry.com,+1 503-644-8080,"11673 SW Beaverton Hillsdale Hwy, Beaverton, OR 97005, United States"
601,LS Bath Treasures,Beauty product supplier,lsbathtreasures.com,+1 503-620-8213,
602,Anatum GeoMobile Solutions,GPS supplier,agsgis.com,+1 800-980-4649,"15688 SW 72nd Ave, Portland, OR 97224, United States"
603,Next Level Martial Arts & Fitness,Martial arts school,nextlevelmartialartsgym.com,+1 503-443-1599,"14865 SW 74th Ave #110, Tigard, OR 97224, United States"
604,Radiology Specialists of the Northwest,Medical clinic,rsnradiology.com,+1 503-731-2900,"5050 NE Hoyt St, Portland, OR 97213, United States"
605,Neawanna By The Sea,Assisted living facility,frontiermgmt.com,+1 503-738-5668,"20 N Wahanna Rd, Seaside, OR 97138, United States"
606,Zanjabiel Catering,Caterer,zanjabiel.com,+1 720-998-3179,"15962 SW Peachtree Dr, Tigard, OR 97224, United States"
607,Amazing Cleaning Services,House cleaning service,amazingcleaningservices.net,+1 503-547-5738,
608,Extra Space Storage,Self-storage facility,extraspace.com,+1 503-620-2040,"16705 SW Pacific Hwy, Tigard, OR 97224, United States"
609,GoMobile Tires PDX,Tire shop,gomobiletires.com,+1 971-533-0050,"7340 SW Bonita Rd, Tigard, OR 97224, United States"
610,Mengis Heating & Cooling,HVAC contractor,mengishvac.com,+1 503-715-1454,
611,Willowbrook Veterinary Hospital,Animal hospital,willowbrookvet.com,+1 503-968-2911,"11545 SW Durham Rd, Tigard, OR 97224, United States"
612,Clockwork Handyman & Remodeling Services LLC,Handyman,clockworkhmrs.com,+1 971-777-5991,
613,Willamette Dental Group - Tualatin,Dentist,locations.willamettedental.com,+1 855-433-6825,"17130 SW Upper Boones Ferry Rd, Portland, OR 97224, United States"
614,Atlas Laboratories,General contractor,atlaslabsinc.com,+1 503-376-8832,"14795 SW 72nd Ave Suite B, Tigard, OR 97224, United States"
615,Dasher Lights,Lighting consultant,dasherlights.com,+1 503-989-9668,"15655 SW 74th Ave #250, Tigard, OR 97224, United States"
616,"Frontier Management, LLC",Assisted living facility,frontiermgmt.com,+1 503-443-1818,"7420 SW Bridgeport Rd, Portland, OR 97224, United States"
617,"Gentog, LLC",Adult day care center,gentog.com,+1 503-639-2600,"11535 SW Durham Rd #C5, Tigard, OR 97224, United States"
618,Uniquely Wise Photography,Photographer,uniquelywise.com,,
619,PacTrust,Commercial real estate agency,pactrust.com,+1 503-624-6300,
620,Treasures of the Sea,Food products supplier,treasuresofthesea.net,+1 503-850-7227,"8198 SW Durham Rd, Tigard, OR 97224, United States"
621,Blossoming Minds Preschool,Preschool,blossomingmindsprek.com,+1 971-724-1126,"4220 SW 164th Ave, Beaverton, OR 97078, United States"
622,"DC Solutions, LLC",Consultant,dcsolutionsco.com,+1 503-430-0016,"18069 SW Lower Boones Ferry Rd, Tigard, OR 97224, United States"
623,Progressive Development Group,Property management company,an-architectpdx.com,+1 503-235-2396,"3558 SE Hawthorne Blvd Suite 6, Portland, OR 97214, United States"
624,Kurisu LLC,Landscape designer,kurisu.com,+1 503-244-5137,"7175 SW Beveland St Suite 100, Tigard, OR 97223, United States"
625,Curren Creative Interiors,Interior designer,currencreative.com,+1 503-420-3390,
626,Integrity Air LLC,HVAC contractor,integrityairllc.com,+1 503-598-0966,"16756 SW 72nd Ave, Portland, OR 97224, United States"
627,"Breakwater Northwest, LLC",Property management company,breakwaternw.com,+1 503-319-5786,
628,Happy Towing LLC,Towing service,tigardtowingcompany.com,+1 971-724-8584,
629,Redcley,Corporate office,redcley.com,+1 206-686-9600,"2018 156th Ave NE #315, Bellevue, WA 98007, United States"
630,"Modern Style PDX, LLC",Hair salon,modernstylepdx.com,+1 503-616-8538,
631,Portland Construction LLC,Dry wall contractor,business.site,+1 971-732-6475,
632,Earnest Images,Banner store,earnestimages.com,+1 503-277-1599,"6777 SW Bonita Rd #100, Tigard, OR 97224, United States"
633,SDW Financial Management,Certified public accountant,sdwfinancial.com,+1 503-567-2830,"15115 SW Sequoia Pkwy Suite 170, Portland, OR 97224, United States"
634,Macadam Capital Partners,Financial consultant,macadamcapital.com,+1 503-225-0889,"Three Centerpointe Dr Suite 290, Lake Oswego, OR 97035, United States"
635,Love Hope Cookies,Bakery,lovehopecookies.com,+1 971-570-2219,"100, 16285 SW 85th Ave, Tigard, OR 97224, United States"
636,Big River Junk Removal,Debris removal service,bigriverjunk.com,+1 503-966-1117,
637,"Jennifer Mozinski, LMFT, LLC",Mental health service,jennifermozinskilmft.com,+1 971-506-7517,
638,Advanced Landscape services,Landscaper,advancedinoregon.com,+1 503-686-8569,"8900 SW Burnham St, Tigard, OR 97223, United States"
639,Kwon Law LLC,Law firm,kwonlawllc.com,+1 503-207-6525,"15573 Bangy Rd Suite 300, Lake Oswego, OR 97035, United States"
640,North Pacific Management,Property management company,northp.com,+1 503-425-1500,"12909 SW 68th Pkwy Suite 430, Tigard, OR 97223, United States"
641,LasikPlus,Lasik surgeon,lasikplus.com,+1 866-921-2392,"7421 SW Bridgeport Rd Suite 200, Tigard, OR 97224, United States"
642,Aspen Ridge Property Services,Janitorial service,aspenridgeps.com,+1 503-639-3836,"15615 SW 74th Ave #190, Tigard, OR 97224, United States"
643,Tigard Premier Auto Care,Auto repair shop,tigardpremierauto.com,+1 503-639-4100,"13880 SW Pacific Hwy, Tigard, OR 97223, United States"
644,Orpha Wellness LLC,Massage therapist,massagebook.com,+1 541-740-1817,"8770 SW Durham Rd, Tigard, OR 97224, United States"
645,Medicare Made Easy,Insurance broker,goagentforce.com,+1 503-314-9848,"8645 SW Greensward Ln, Tigard, OR 97224, United States"
646,Jackson Painting Inc,Painting,jacksonpainting.com,+1 503-890-2600,
647,Courtyard by Marriott Portland Tigard,,marriott.com,+1 503-684-7900,"15686 SW Sequoia Pkwy, Tigard, OR 97224, United States"
648,"Souper Natural, LLC",Soup shop,soupernatural.net,+1 503-332-2848,"16285 SW 85th Ave Suite 403, Portland, OR 97224, United States"
649,"AJ Construction and Remodel Services, LLC",Painter,ajconstructionservices.com,+1 503-805-8943,"14450 SW Fern St, Tigard, OR 97223, United States"
650,Portland Community College Sylvania,Community college,pcc.edu,+1 971-722-6111,"12000 SW 49th Ave, Portland, OR 97219, United States"
651,iDesignWorks,Architectural designer,idesignworks.design,+1 503-708-6204,"18047 SW Lower Boones Ferry Rd, Portland, OR 97224, United States"
652,The Healing Plate,Delivery Restaurant,thehealingplatepdx.com,+1 503-765-7711,
653,Corrective Step Foot Health Center- Dr. Ejiro Isiorho,Podiatrist,correctivestep.com,+1 503-624-0364,"11515 SW Durham Rd E, Tigard, OR 97224, United States"
654,Bridgeport Oral and Implant Surgery Center,Oral surgeon,bridgeportoralsurgery.com,+1 503-747-5806,"11565 SW Durham Rd UNIT 100, Tigard, OR 97224, United States"
655,Aicon diagnostic LLC,Biochemistry lab,business.site,+1 503-941-5175,"8194 SW Durham Rd, Tigard, OR 97224, United States"
656,Doug Fir Billing,Corporate office,dougfirbilling.com,,
657,"Dr. Andrea Tremaine, MD",Family practice physician,bridgeportfamilymedicine.com,+1 503-603-9087,"16083 SW Upper Boones Ferry Rd #320, Tigard, OR 97224, United States"
658,Sherwood Plaza,Shopping mall,mercurydev.com,+1 503-925-1850,"16310 SW Langer Dr, Sherwood, OR 97140, United States"
659,"Culshaw and Company, LLC",Accountant,culshawcpa.com,+1 503-670-8286,"15115 SW Sequoia Pkwy #170, Portland, OR 97224, United States"
660,Helping Hands Home Care NW,Home health care service,helpinghandshomecare.com,+1 503-746-7146,"14050 SW Pacific Hwy Ste. 101, Tigard, OR 97224, United States"
661,"Motus Recruiting & Staffing, INC.",Employment agency,motusrecruiting.com,+1 503-496-1310,"6650 SW Redwood Ln #355, Tigard, OR 97224, United States"
662,SIRENNET,Electronic parts supplier,sirennet.com,+1 503-670-4700,"7800 SW Durham Rd #700, Tigard, OR 97224, United States"
663,Mikey's Fishing Adventures,Fishing charter,mikeysfishingadventures.com,+1 503-590-9423,
664,Sherwin-Williams Paint Store,Paint store,sherwin-williams.com,+1 503-684-2070,"13500 SW Pacific Hwy Ste 78, Tigard, OR 97223, United States"
665,Chop Chop Chicken Sundaes & Salads,Restaurant,choppdx.com,+1 503-563-0600,"7403 SW Bridgeport Rd #K6, Tigard, OR 97224, United States"
666,Metereaders,Water utility company,metereaders.com,+1 503-624-7010,"18167 SW Boones Ferry Rd, Portland, OR 97224, United States"
667,Bridgeport Family Dental,Dental clinic,mybridgeportfamilydental.com,+1 503-430-7909,"7420 SW Bridgeport Rd #104, Tigard, OR 97224, United States"
668,Okojie Wellness,Medical clinic,okojiewellness.com,+1 971-238-8477,"4400 NE 77th Ave Suite 275, Vancouver, WA 98662, United States"
669,Cadia Marketing,Website designer,cadiamarketing.com,+1 503-597-8139,"15369 SW 81st Ave, Tigard, OR 97224, United States"
670,SVN - Imbrie Realty LLC,Commercial real estate agency,svnimbrie.com,+1 503-208-9400,"10300 SW Greenburg Rd Suite 240, Portland, OR 97223, United States"
671,TZ Medical Inc,Medical equipment supplier,tzmedical.com,+1 800-944-0187,"17750 SW Upper Boones Ferry Rd #150, Portland, OR 97224, United States"
672,Ziglinski Construction LLC,General contractor,ziglinskiconstruction.com,+1 503-819-4263,
673,Red White & Blue Thrift Store,Used appliance store,redwhiteandbluethriftstore.com,+1 503-655-3444,"19239 SE McLoughlin Blvd, Gladstone, OR 97027, United States"
674,"Hasson Company, Realtors®",Real estate agency,hasson.com,+1 503-635-9801,"15400 Boones Ferry Rd, Lake Oswego, OR 97035, United States"
675,Corona Consulting LLC,Management school,thecoronaeffect.com,+1 541-915-0471,
676,Primo Construction LLC,Construction company,primoexterior.com,+1 503-598-3002,"9380 SW Tigard St, Tigard, OR 97223, United States"
677,Heritage Restoration Co. LLC,,heritagestairs.com,+1 503-244-8378,"9600 SW Park Way, Portland, OR 97225, United States"
678,Volante Skincare,Skin care clinic,volanteskincare.com,+1 844-865-2683,"6650 SW Redwood Ln #150, Portland, OR 97224, United States"
679,"Aero Teardrops, LLC",Manufacturer,aeroteardrops.com,+1 503-597-8714,"7320 SW Bonita Rd A, Tigard, OR 97224, United States"
680,SDK HUNTER LLC,Marketing agency,sdkhunter.com,+1 855-213-9291,
681,Portland Construction LLC,Dry wall contractor,business.site,+1 971-732-6475,
682,EyeStyles + Care,Optometrist,eyestylesllc.com,+1 503-372-5013,"7144 SW Hazel Fern Rd, Portland, OR 97224, United States"
683,"Frontier Management, LLC",Assisted living facility,frontiermgmt.com,+1 503-443-1818,"7420 SW Bridgeport Rd, Portland, OR 97224, United States"
684,Timberline Apartments,Apartment complex,wplassociates.com,+1 503-624-7044,"14799 SW 109th Ave, Tigard, OR 97224, United States"
685,Chancellor Designs,Interior designer,chancellordesigns.com,+1 503-430-5263,"7236 SW Durham Rd STE 100, Portland, OR 97224, United States"
686,The Portland Clinic-South,Medical clinic,theportlandclinic.com,+1 503-620-7358,"6640 SW Redwood Ln, Portland, OR 97224, United States"
687,CBD Beaute,Skin care clinic,cbdbeaute.com,+1 833-428-9223,"6650 SW Redwood Ln, Tigard, OR 97224, United States"
688,"North View Properties, LLC",Property management company,nviewproperties.com,+1 503-328-6682,"1905 SW 257th Dr, Troutdale, OR 97060, United States"
689,"eXp Realty, LLC",Real estate agency,kyungkim.exprealty.com,+1 503-544-5606,
690,The Century,Apartment building,thecenturypdx.com,+1 503-477-9938,"3270 N Vancouver Ave, Portland, OR 97227, United States"
691,Fansē Lounge,Beauty salon,befanse.com,+1 503-451-0891,"10355 SW Canyon Rd, Beaverton, OR 97005, United States"
692,Dwell Tech LLC,Computer consultant,dwell.tech,,
693,Bridgeport Laser & Wellness Center,Medical spa,bpwcenter.com,+1 503-772-3297,"7180 SW Hazel Fern Rd, Portland, OR 97224, United States"
694,Sutton Estate Sales LLC,Estate appraiser,suttonestatesales.com,+1 503-347-4913,"Portland, OR 97232, United States"
695,Club Champion,Golf shop,clubchampiongolf.com,+1 503-352-4782,"7215 SW Hazel Fern Rd, Tigard, OR 97224, United States"
696,Surgeline Tuning,Auto tune up service,surgeline.com,+1 503-670-9500,"16580 SW 72nd Ave, Portland, OR 97224, United States"
697,Vibrant Valley Farm,Farm,vibrantvalleyfarm.com,,"3564 SE Division St, Portland, OR 97202, United States"
698,Image Media,Graphic designer,imagemediapdx.com,+1 503-214-4500,"16600 SW 72nd Ave #10, Portland, OR 97224, United States"
699,Center For Medical Imaging at Bridgeport,Medical diagnostic imaging center,centerformedicalimaging.net,+1 503-785-9818,"18040 SW Lower Boones Ferry Rd Suite 106, Tigard, OR 97224, United States"
700,Rogue River Systems,Pump supplier,rogueriversystems.com,+1 971-350-8120,
701,Pacific Properties,,pac-properties.com,+1 423-713-2303,"15685 SW 116th Ave, Tigard, OR 97224, United States"
702,Real Asset Portfolio Management,Financial planner,hamiltonlane.com,+1 503-624-9910,"15350 SW Sequoia Pkwy, Portland, OR 97224, United States"
703,PostalAnnex+,Shipping company,postalannex.com,+1 503-443-4833,"15532 SW Pacific Hwy Ste C1B, Tigard, OR 97224, United States"
704,Lorna J Shanks MD,Family practice physician,healthy.kaiserpermanente.org,+1 503-669-3900,"19500 SE Stark St, Portland, OR 97233, United States"
705,"Gupta Consulting, LLC.",,bgupta.com,+1 971-570-4671,"14100 SW Wagoner Pl, Portland, OR 97224, United States"
706,"Breakwater Northwest, LLC",Property management company,breakwaternw.com,+1 503-319-5786,
707,Rip City Garage Door Repair & Locksmith LLC,Garage door supplier,ripcitygaragedoor.com,+1 503-781-2393,
708,Vargas & Miranda Landscape LLC,Landscaper,business.site,+1 971-371-9369,
709,GDL Screenprinting LLC,Screen printer,gdlscreenprinting.com,+1 503-307-0375,"14865 SW 74th Ave #270, Tigard, OR 97224, United States"
710,Portland Construction LLC,Dry wall contractor,business.site,+1 971-732-6475,
711,Landar Music Piano Tuning,Piano tuning service,pianotunerportlandoregon.com,+1 503-869-8210,"13985 SW Fanno Creek Dr, Tigard, OR 97224, United States"
712,Parkland Development,Real estate developer,pldus.com,+1 503-639-0108,"16083 SW Upper Boones Ferry Rd, Portland, OR 97224, United States"
713,Peace of Mind Property Management,Property management company,peaceofmindnw.com,+1 503-257-6674,"8733 SE Division St UNIT 201, Portland, OR 97266, United States"
714,"Columbia Consulting Group, LLC.",Marketing consultant,columbiaconsultinggroupllc.com,+1 503-706-5355,
715,Ken Miller and Associates,Real estate agency,kenmillerassociates.com,+1 503-639-0630,"11725 SW Queen Elizabeth St A, King City, OR 97224, United States"
716,Mascottech LLC,Software company,mascottech.com,+1 503-308-6942,"15166 SW Harvey's View Ave, Tigard, OR 97224, United States"
717,Parkway Woods,Business park,parkwaywoods.com,,"26600 SW Parkway Ave, Wilsonville, OR 97070, United States"
718,Murrayhill Remodeling LLC,Remodeler,murrayhillremodeling.com,+1 503-522-8288,
719,"SG Architecture, LLC",Architect,sg-arch.net,,"10940 SW Barnes Rd #364, Portland, OR 97225, United States"
720,RV Transport Service LLC,,rvtransportservice.com,+1 800-456-2455,"2070 SE Oak Grove Blvd, Portland, OR 97267, United States"
721,Green Thumb Landscaping,Landscaper,greenthumblandscaping.com,+1 503-638-6212,"11300 SW Cahalin Rd, Sherwood, OR 97140, United States"
722,Bridgeport Distribution Inc,Logistics service,bridgeportdistribution.com,+1 503-620-6977,"15705 SW 72nd Ave, Portland, OR 97224, United States"
723,Vivi Foot & Body Massage,Massage spa,vivifootbodymassage.wix.com,+1 971-777-3388,"15660 SW Pacific Hwy a4, Tigard, OR 97224, United States"
724,"Iris Briand, RDN with Sol Food Nutrition, LLC",Nutritionist,solfoodnutrition.com,+1 541-908-0632,
725,Mercury Development,Commercial real estate agency,mercurydev.com,+1 503-925-1850,"15350 SW Sequoia Pkwy #140, Portland, OR 97224, United States"
726,MercuryPDX,Courier service,mercurypdx.com,+1 503-247-8484,"715 NW Hoyt St #2274, Portland, OR 97208, United States"
727,Maid Brigade of West Portland,House cleaning service,maidbrigade.com,+1 503-624-3935,"7390 SW Bonita Rd #B, Tigard, OR 97224, United States"
728,Apex Global Consultants,Business management consultant,apexglobalconsultants.com,+1 971-217-8934,
729,M & B Security,Security service,mandbsecurity.com,+1 541-913-1753,"Tigard, OR 97224, United States"
730,US Tax Services LLC,Tax preparation service,ustax-services.com,+1 503-620-2221,"10300 SW Greenburg Rd #385, Portland, OR 97223, United States"
731,IMC powered by Parts Authority,Auto parts store,imcparts.net,+1 800-874-8925,"18343 SW Boones Ferry Rd, Portland, OR 97224, United States"
732,"Columbia Consulting Group, LLC.",Marketing consultant,columbiaconsultinggroupllc.com,+1 503-706-5355,
733,"Firefly Training & Lessons, LLC",Horse trainer,fireflyhorses.com,+1 503-260-2695,
734,TMG Property Management Services NW Portland Oregon,Property management company,tmgnorthwest.com,+1 503-718-5600,"15350 SW Sequoia Pkwy Ste 200A, Portland, OR 97224, United States"
735,Boundless Assistive Technology,Professional services,boundlessat.com,+1 866-606-8551,"7490 SW Bridgeport Rd, Portland, OR 97224, United States"
736,Kellogg Square,Apartment complex,kelloggsquare.com,+1 651-227-9224,"111 E Kellogg Blvd, St Paul, MN 55101, United States"
737,Oregon Heritage Farms,Orchard,oregonheritagefarms.com,+1 503-628-2775,"22801 SW Scholls Ferry Rd, Hillsboro, OR 97123, United States"
738,Cold Milk & Treats,,m.facebook.com,+1 503-997-6654,"Sp Bridgeport, 7315 SW Bridgeport Rd Blg. R2, Tigard, OR 97224, United States"
739,Atiyeh Bros. Retail Showroom & Rug Cleaning Drop-Off,Rug store,atiyehbros.com,+1 503-639-8642,"6750 SW Bonita Rd, Tigard, OR 97224, United States"
740,Game Haven,Video game store,gamehavenclassic.com,+1 503-610-1718,"16360 SW Langer Dr, Sherwood, OR 97140, United States"
741,"Above All Fences, Decks & Construction LLC",Home builder,aboveallconstruction.net,+1 503-270-1864,"7424 SW Fir St, Lake Oswego, OR 97223, United States"
742,"Columbia Consulting Group, LLC.",Marketing consultant,columbiaconsultinggroupllc.com,+1 503-706-5355,
743,Vendetta,Bar,vendettapdx.com,+1 503-288-1085,"4306 N Williams Ave, Portland, OR 97217, United States"
744,Gracie Barra Southwest Portland,Martial arts school,gbswportland.com,+1 503-372-9466,"17700 SW Upper Boones Ferry Rd Suite 135, Portland, OR 97224, United States"
745,Portland Blinds and Shutters,Window treatment store,pdxblindsandshutters.com,+1 503-701-7091,
746,Kellie Ross Salon,Hair salon,kellierosssalon.com,+1 503-351-4111,"18081 SW Lower Boones Ferry Rd, Portland, OR 97224, United States"
747,"Columbia Consulting Group, LLC.",Marketing consultant,columbiaconsultinggroupllc.com,+1 503-706-5355,
748,Nittany Pointe,Apartment building,apartmentstore.com,+1 814-940-6101,"200 Campus View Dr #9701, Altoona, PA 16601, United States"
749,EleMar Oregon,Granite supplier,elemaroregon.com,+1 503-692-8020,"19723 SW Teton Ave, Tualatin, OR 97062, United States"
750,Cindy Scott - Envision Northwest Homes,Real estate agency,cindyscotthomes.com,+1 503-330-6547,"16715 SW King Charles Ave, Portland, OR 97224, United States"
751,"Aris Construction Services LLC - Licensed General Contractor, Construction Maintenance, Window Installation Company",Construction company,arisconstructionservices.com,+1 971-314-6823,
752,Milwaukee Public Schools,School district office,mps.milwaukee.k12.wi.us,+1 414-475-8393,"5225 W Vliet St, Milwaukee, WI 53208, United States"
753,Liberty Tax Service,Tax preparation,libertytax.com,+1 971-703-2594,"11535 SW Durham Rd Suite C1, Tigard, OR 97224, United States"
754,HomeSmart Realty Group - Portland Metro,Real estate agency,hsmartrealtygroup.com,,"7455 SW Bridgeport Rd e, Portland, OR 97224, United States"
755,Edmonds Landing Assisted Living,Assisted living facility,frontiermgmt.com,+1 425-744-1181,"180 2nd Ave S, Edmonds, WA 98020, United States"
756,Courtyard Fountains,Assisted living facility,frontiermgmt.com,+1 503-667-4500,"1545 SE 223rd Ave, Gresham, OR 97030, United States"
757,Youth Revival,Medical spa,youthrevivalrn.com,,"1720 NW Lovejoy St, Portland, OR 97209, United States"
758,"Allstructure Engineering, LLC",Structural engineer,allstructure.com,+1 503-620-4314,"16154 SW Upper Boones Ferry Rd, Portland, OR 97224, United States"
759,Able Heating & Cooling LLC,Heating contractor,ableheatingandcooling.com,+1 503-579-2250,"16285 SW 85th Ave #105, Tigard, OR 97224, United States"
760,"Pacific NW Land, LLC",Property management company,pnwland.com,+1 360-949-6986,"800 NE Tenney Rd suite 110-2, Vancouver, WA 98685, United States"
761,Anytime Fitness,Gym,anytimefitness.com,+1 503-596-2576,"16200 SW Pacific Hwy, Portland, OR 97224, United States"
762,Jolene Apartments,Apartment building,norris-stevens.com,+1 503-624-7922,"11050 SW Gaarde St, Tigard, OR 97224, United States"
763,"Dr. Standley C. Adamek, DO",Family practice physician,bridgeportfamilymedicine.com,+1 503-603-9087,"16083 SW Upper Boones Ferry Rd #320, Tigard, OR 97224, United States"
764,Le D Bug Boutique,Children's clothing store,ledbugboutique.com,+1 503-746-7348,"7453 SW Bridgeport Rd, Tigard, OR 97224, United States"
765,TKSchneids LLC,E-commerce service,savingourtomorrows.com,,
766,Tigard Ace Hardware,Hardware store,acehardware.com,+1 503-596-2090,"16200 SW Pacific Hwy, Tigard, OR 97224, United States"
767,WrapCo,Sign shop,wrapcopdx.com,+1 503-624-1192,"7340 SW Bonita Rd, Tigard, OR 97224, United States"
768,Leif's Auto Collision Centers,Auto body shop,leifs.com,+1 503-620-5343,"14344 SW 72nd Ave, Tigard, OR 97224, United States"
769,PacTrust,Commercial real estate agency,pactrust.com,+1 503-624-6300,
770,ASTriD Sports,Sporting goods store,astridsports.com,,"174 Northeast 78th Avenue, Hillsboro, OR 97006, United States"
771,Quartz & Granite Countertops,Countertop store,quartzgranitecounters.com,+1 503-523-7324,"11225 SW Greenburg Rd Suite A-1, Tigard, OR 97223, United States"
772,Pavilion Construction,Corporate office,pavilionconstruction.com,+1 503-290-5005,"15455 Hallmark Dr #200, Lake Oswego, OR 97035, United States"
773,"Aeroseal of Oregon, LLC",HVAC contractor,aerosealoforegon.com,+1 503-620-5643,"7500 SW Tech Center Dr #130, Tigard, OR 97223, United States"
774,"TreeHouse Realty, LLC serving Portland & Medford Oregon",Real estate agency,treehouserealty.us,+1 503-330-5150,
775,Spectrum Advanced Aesthetics Institute,Medical spa,spectrumlasertraining.com,+1 503-719-2688,"15115 SW Sequoia Pkwy Suite 200, Tigard, OR 97224, United States"
776,SolMaids,Cleaning service,sol-maids.com,+1 971-998-6547,"11775 SW Graven St, Tigard, OR 97224, United States"
777,Fearlandia,Haunted house,fearlandia.com,+1 503-839-7690,"16255 SW Upper Boones Ferry Rd, Tigard, OR 97224, United States"
778,Secure Tomorrow Insurance,Insurance agency,securetomorrowinsurance.com,+1 503-704-7532,"1000 NE 122nd Ave #211, Portland, OR 97230, United States"
779,Porter Hotel,,curiocollection3.hilton.com,+1 503-306-4800,"1355 SW 2nd Ave, Portland, OR 97201, United States"
780,Collective,Accounting firm,ilovecollective.com,+1 503-610-8291,"7455 SW Bridgeport Rd #200, Tigard, OR 97224, United States"
781,W2 Painters LLC,Painter,w2painters.com,+1 503-347-9366,
782,Northside Roofing LLC,Roofing contractor,northsideroofingpdx.com,+1 503-516-6298,
783,"Millers Mini Mix, LLC",Ready mix concrete supplier,millersminimix.com,+1 503-693-8478,
784,Oregon Business Park I,Business park,pactrust.com,+1 503-624-6300,"15912 - 16798 SW 72nd Ave, Tigard, OR 97224, United States"
785,Tigard Auto Body Repair by Ace Reconditioning,Auto body shop,acecars.net,+1 503-620-3593,"15785 SW 72nd Ave, Portland, OR 97224, United States"
786,Woodland Heights,Retirement home,woodland-heights-assisted-living.com,+1 503-684-9696,"9355 SW McDonald St, Tigard, OR 97224, United States"
787,"Frontier Management, LLC",Assisted living facility,frontiermgmt.com,+1 503-443-1818,"7420 SW Bridgeport Rd, Portland, OR 97224, United States"
788,Good Feller Tree Care LLC,Arborist and tree surgeon,business.site,+1 406-493-2424,
789,"Columbia Consulting Group, LLC.",Marketing consultant,columbiaconsultinggroupllc.com,+1 503-706-5355,
790,FlyBoy Brewery & Pub,Brewery,flyboybrewing.com,+1 971-317-0137,"15230 SW Sequoia Pkwy, Tigard, OR 97224, United States"
791,Confluence Wealth Management,Investment service,confluencewealth.com,+1 503-221-7595,"1211 SW 5th Ave #1200, Portland, OR 97204, United States"
792,Mark's Quality Repair Services,Auto repair shop,marksqualityrepair.net,+1 503-670-9556,"18211 SW Boones Ferry Rd, Portland, OR 97224, United States"
793,CEDAR MOUNTAIN DEVELOPMENT LLC,General contractor,business.site,+1 503-625-0284,"7504 SW Bridgeport Rd, Portland, OR 97224, United States"
794,Lemon Tree Massage-Professional Asian Massage,Massage therapist,lemontreemassage.net,+1 503-747-5725,"11725 SW Queen Elizabeth St D, King City, OR 97224, United States"
795,Beavercreek Meadows Apartments,Apartment building,beavercreekmeadowsprinceton.com,+1 503-492-6106,"26719 SE Stark St, Troutdale, OR 97060, United States"
796,SC Labs | Oregon,Laboratory,sclabs.com,+1 503-272-8830,"15865 SW 74th Ave #110, Tigard, OR 97224, United States"
797,Affordable Food Cart Rentals LLC,Equipment rental agency,business.site,+1 503-260-1467,"15710 NE Glisan St, Portland, OR 97230, United States"
798,Knipe Realty ERA Powered,Real estate agency,kniperealty.com,+1 503-445-7660,"7420 SW Bridgeport Rd #210, Portland, OR 97224, United States"
799,Hillsboro Quick Print,Commercial printer,hillsboroqp.com,+1 503-648-6193,"# 23, 2575 NE Kathryn St, Hillsboro, OR 97124, United States"
800,Bridgeport Law Group,Attorney,bridgeportlawgroup.com,+1 503-620-0114,"7420 SW Bridgeport Rd #101, Portland, OR 97224, United States"
801,Bella Media LLC,Marketing agency,bellamediallc.com,+1 503-683-3899,
802,Affordable Land LLC,Real estate developer,oregonland.cc,+1 503-680-1144,
803,Mercedes Andazola Dressage LLC,Horseback riding service,mercedesandazoladressage.com,+1 541-840-7226,"7719, 18079 SW Lower Boones Ferry Rd #309, Portland, OR 97224, United States"
804,The Home Depot,Home improvement store,homedepot.com,+1 503-639-3500,"14800 SW Sequoia Pkwy, Tigard, OR 97224, United States"
805,Mainlander Property Management,Property management company,mainlander.com,+1 503-635-4477,"3927 Lake Grove Ave, Lake Oswego, OR 97035, United States"
806,Bookkeepers Business Services Co,Accountant,bbspdx.com,+1 503-639-2165,"10580 SW McDonald St # 104, Tigard, OR 97224, United States"
807,The Executive Polish - BY APPOINTMENT ONLY,Nail salon,theexecutivepolish.com,+1 503-968-4525,"18120 SW Lower Boones Ferry Rd, Tigard, OR 97224, United States"
808,Community Montessori School,Montessori school,communitymontessorischool.net,+1 503-577-7846,"5322 Charleton Ct, Lake Oswego, OR 97035, United States"
809,Bridgeport Nails,Nail salon,vagaro.com,+1 503-530-8258,"18041 SW Lower Boones Ferry Rd #4, Portland, OR 97224, United States"
810,Northwest Real Estate Investors Association,Association or organization,northwestreia.com,+1 503-482-6955,"15532 SW Pacific Hwy, Tigard, OR 97224, United States"
811,"Columbia Consulting Group, LLC.",Marketing consultant,columbiaconsultinggroupllc.com,+1 503-706-5355,
812,Oregon Outpatient Surgery Center,Doctor,oregonoutpatientsurgery.com,+1 503-612-8452,"7300 SW Childs Rd A, Portland, OR 97224, United States"
